,country,year,adjcov,unadjcov,netden,totden,barglev2,coninv,govin,barglev1,confed1,confed2,confed3,confed4,confed5,confed6,confed7,confed8,conmem1,conmem2,conmem3,conmem5,unaffmem,conmem4,conmem6,conmem7,conmem8,con11,con12,con13,con14,con21,con22,con23,con24,nat11,nat12,nat13,nat14,nat15,nat21,nat22,nat23,nat24,nat25,emconv1,emconv2,emconv3,emconv4,emconv5,emafv1,emafv2,emafv3,emafv4,emafv5,contot,herf,apphrf1,apphrf2,apphrf3,apphrf4,apphrfwt,apphrfr1,apphrfr2,apphrfr3,apphrfr4,conshre,apphrfbl
278,ARL,1982,NA,NA,0.45864144,51.80395508,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,ARL,1983,NA,NA,0.445699841,50.34064102,5,7,15,4,ACTU,.a,.a,.a,.a,.a,.a,.a,2434200,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2434200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.815422773,NA
280,ARL,1984,NA,NA,0.444610268,50.22388077,5,7,11,4,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,ARL,1985,85,85,0.453703701,51.23781586,5,7,11,4,ACTU,.a,.a,.a,.a,.a,.a,.a,2625900,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2625900,1,0.015393471,NA,NA,NA,0.015393471,0.015393471,NA,NA,NA,0.832509041,0.015393471
282,ARL,1986,NA,NA,0.451770246,50.13690186,5,7,11,4,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,ARL,1987,NA,NA,0.444801211,49.54281235,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,2719600,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2719600,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83935684,NA
284,ARL,1988,NA,NA,0.432568461,48.71206665,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,ARL,1989,NA,NA,0.426857144,48.71857071,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,2747800,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2747800,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805735588,NA
286,ARL,1990,80,80,0.426873595,NA,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,ARL,1991,NA,NA,0.418636799,NA,4,7,11,3,ACTU,.a,.a,.a,.a,.a,.a,.a,2757100,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2757100,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,ARL,1992,NA,NA,0.389701813,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,ARL,1993,NA,NA,0.37468949,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,2582900,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2582900,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,ARL,1994,NA,NA,0.341820151,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,ARL,1995,NA,NA,0.319748402,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,2288000,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2288000,1,0.0328396,NA,NA,NA,0.0328396,0.0328396,NA,NA,NA,NA,0.0328396
4,ARL,1996,70,70,0.312424302,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,2194300,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2194300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ARL,1997,NA,NA,0.305933774,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,2110300,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2110300,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ARL,1998,NA,NA,0.286689073,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,2037500,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,2037500,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ARL,1999,NA,NA,0.266633362,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,1878200,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,1878200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ARL,2000,98,78,0.259596527,NA,2,7,11,1,ACTU,.a,.a,.a,.a,.a,.a,.a,1901800,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,1,0,1,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,1,1,1901800,1,0.042537756,NA,NA,NA,0.042537756,0.042537756,NA,NA,NA,NA,0.042537756
289,ARL,2001,98,78,NA,NA,NA,NA,NA,NA,,,,,,,,,1902700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902700,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,ARL,2002,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1833700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1833700,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,ARL,2003,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,1866700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1866700,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,AUT,1948,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,AUT,1949,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,AUT,1950,NA,NA,0.575144529,62.20000076,5,10,3,4,OeGB,.a,.a,.a,.a,.a,.a,.a,1290581,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1290581,1,0.081920929,NA,NA,NA,0.081920929,0.081920929,NA,NA,NA,1,0.081920929
295,AUT,1951,NA,NA,0.576190472,62.40000153,5,10,3,4,OeGB,.a,.a,.a,.a,.a,.a,.a,1310200,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1310200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
296,AUT,1952,NA,NA,0.579399168,62.90000153,3,3,3,2,OeGB,.a,.a,.a,.a,.a,.a,.a,1318327,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1318327,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
297,AUT,1953,NA,NA,0.577820063,62.79999924,3,3,3,2,OeGB,.a,.a,.a,.a,.a,.a,.a,1320343,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1320343,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
298,AUT,1954,NA,NA,0.578380883,63.09999847,3,3,3,2,OeGB,.a,.a,.a,.a,.a,.a,.a,1347639,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1347639,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
299,AUT,1955,NA,NA,0.583675325,63.79999924,3,3,3,2,OeGB,.a,.a,.a,.a,.a,.a,.a,1398446,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,0,0,0,1,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1398446,1,0.089120328,NA,NA,NA,0.089120328,0.089120328,NA,NA,NA,1,0.089120328
